frame,DetObj#,x,y,z,v,snr,noise
0,0,-0.10695286095142365,0.039870306849479675,-0.008639470674097538,0.0,303,475
0,1,-0.8694233298301697,1.322494387626648,0.2516708970069885,0.0,114,505
0,2,-0.4324115812778473,1.7309285402297974,-0.18169517815113068,0.0,179,547
0,3,-0.1150030791759491,1.9043450355529785,0.0045492942444980145,0.0,125,599
0,4,-0.5692652463912964,2.0163512229919434,-0.11997760832309723,0.0,160,638
0,5,0.6003161072731018,2.10874605178833,-0.3008233904838562,0.0,130,625
0,6,0.568115234375,0.7862183451652527,0.20808981359004974,-0.039800021797418594,293,400
0,7,0.5060135722160339,0.666610062122345,-0.06513131409883499,-0.019900010898709297,266,413
1,0,-0.10695286095142365,0.03987548500299454,-0.008615544997155666,0.0,305,473
1,1,-0.8694233298301697,1.3257222175598145,0.23407328128814697,0.0,119,502
1,2,-0.4324115812778473,1.730374813079834,-0.18689477443695068,0.0,186,540
1,3,-0.1150030791759491,1.9026867151260376,-0.07958819717168808,0.0,125,601
1,4,-0.5692652463912964,2.0156543254852295,-0.13116498291492462,0.0,139,659
1,5,0.6670178771018982,2.0924341678619385,-0.27292877435684204,0.0,121,637
1,6,0.7463699579238892,2.085646152496338,-0.40129342675209045,0.0,124,634
1,7,-0.4749627113342285,2.129307508468628,0.5554134845733643,0.0,124,634
1,8,2.7048726081848145,2.523319959640503,-0.5468884706497192,0.0,112,545
1,9,0.5060135722160339,0.6642460823059082,-0.0859546884894371,0.019900010898709297,261,403
1,10,0.568115234375,0.8044450283050537,0.11961963027715683,0.019900010898709297,203,468
1,11,0.5313142538070679,0.6485130190849304,0.04238894581794739,0.05970003455877304,311,335
2,0,-0.10695286095142365,0.03988100215792656,-0.008589958772063255,0.0,302,476
2,1,0.5313142538070679,0.644207775592804,-0.08580344915390015,0.0,239,449
2,2,0.5980160236358643,0.7777472734451294,0.14724670350551605,0.0,188,480
2,3,-0.8694233298301697,1.3241701126098633,0.2426995187997818,0.0,139,480
2,4,-0.4324115812778473,1.7296489477157593,-0.1934974193572998,0.0,189,537
2,5,-0.1150030791759491,1.8928852081298828,-0.20865364372730255,0.0,122,600
2,6,-0.5692652463912964,2.0154662132263184,-0.13402590155601501,0.0,148,651
2,7,0.7463699579238892,2.0655102729797363,-0.4945947825908661,0.0,119,634
2,8,-0.4749627113342285,2.130340814590454,0.5514370799064636,0.0,119,634
2,9,2.817575693130493,2.39650821685791,-0.5482535362243652,0.0,114,540
2,10,0.5520148277282715,1.0866329669952393,0.07321842759847641,0.039800021797418594,168,365
2,11,0.568115234375,0.7785742282867432,0.23508039116859436,0.05970003455877304,169,333
2,12,0.5313142538070679,0.64839768409729,0.0441175177693367,-0.039800021797418594,315,337
2,13,0.49911341071128845,1.071179986000061,-0.05088763311505318,-0.039800021797418594,209,375
3,0,-0.10695286095142365,0.0398743636906147,-0.008620730601251125,0.0,303,475
3,1,0.5313142538070679,0.6494153141975403,-0.025013258680701256,0.0,244,446
3,2,0.5980160236358643,0.7613847851753235,0.2164846956729889,0.0,165,495
3,3,-0.8694233298301697,1.3230047225952148,0.24897415935993195,0.0,126,495
3,4,-0.4324115812778473,1.728721022605896,-0.20162025094032288,0.0,184,542
3,5,-0.1150030791759491,1.898770809173584,-0.14567174017429352,0.0,126,600
3,6,-0.5692652463912964,2.0165748596191406,-0.11615795642137527,0.0,140,658
3,7,2.817575693130493,2.393756866455078,-0.5601444840431213,0.0,117,542
4,0,-0.10695286095142365,0.03988347947597504,-0.00857845600694418,0.0,303,475
4,1,0.5313142538070679,0.6491670608520508,-0.03079071082174778,0.0,252,447
4,2,0.61181640625,0.8433122634887695,-0.23651452362537384,0.0,116,507
4,3,-0.8694233298301697,1.3227814435958862,0.2501576244831085,0.0,126,495
4,4,-0.4324115812778473,1.7289202213287354,-0.19990387558937073,0.0,183,543
4,5,-0.1150030791759491,1.8967344760894775,-0.1701446771621704,0.0,122,601
4,6,-0.5692652463912964,2.0153450965881348,-0.13583596050739288,0.0,128,671
4,7,0.5462646484375,0.7597857117652893,0.18510748445987701,-0.019900010898709297,201,445
5,0,-0.10695286095142365,0.03987578675150871,-0.008614149875938892,0.0,302,476
5,1,0.5313142538070679,0.6096022725105286,-0.2252798229455948,0.0,151,447
5,2,-0.8694233298301697,1.3223826885223389,0.25225701928138733,0.0,142,480
5,3,-0.4324115812778473,1.7305742502212524,-0.18503917753696442,0.0,188,539
5,4,-0.1150030791759491,1.9043384790420532,0.0067675006575882435,0.0,124,601
5,5,-0.5692652463912964,2.015759229660034,-0.12954455614089966,0.0,153,645
5,6,0.8142217993736267,2.047638416290283,-0.4606993496417999,0.0,127,630
5,7,-0.4749627113342285,2.138934373855591,0.5171021819114685,0.0,127,630
5,8,0.480712890625,0.6684115529060364,-0.16371279954910278,0.039800021797418594,257,331
5,9,-1.104029655456543,0.09088657051324844,0.2884056270122528,0.05970003455877304,138,382
5,10,-1.224782943725586,2.399174690246582,-0.2882947027683258,-0.09950005263090134,163,352
5,11,0.5462646484375,0.7632606625556946,0.17021240293979645,-0.019900010898709297,245,434
6,0,-0.10695286095142365,0.039873361587524414,-0.008625362068414688,0.0,304,474
6,1,-0.8694233298301697,1.3237593173980713,0.24493029713630676,0.0,194,426
6,2,-0.4324115812778473,1.7295422554016113,-0.19444948434829712,0.0,195,532
6,3,-0.1150030791759491,1.8980598449707031,-0.1546594649553299,0.0,127,600
6,4,-0.5692652463912964,2.016145944595337,-0.12337922304868698,0.0,146,652
6,5,0.6670178771018982,2.0782883167266846,-0.3653612434864044,0.0,129,628
6,6,2.817575693130493,2.4004852771759033,-0.530569314956665,0.0,114,539
6,7,-1.1051795482635498,0.33564430475234985,0.25505155324935913,0.11940006911754608,210,334
6,8,1.0384777784347534,1.2701843976974487,0.01320568285882473,-0.07960004359483719,130,413
6,9,0.5313142538070679,0.6497464179992676,-0.013984265737235546,-0.05970003455877304,401,333
6,10,0.5462646484375,0.771329402923584,0.12880244851112366,-0.05970003455877304,312,387
6,11,0.4634624123573303,1.0879318714141846,0.027148282155394554,-0.039800021797418594,196,404
7,0,-0.10695286095142365,0.03987041488289833,-0.008638971485197544,0.0,304,474
7,1,-0.4370116889476776,0.47115570306777954,0.4115790128707886,0.0,132,411
7,2,-0.8694233298301697,1.321590781211853,0.2563740015029907,0.0,214,406
7,3,-0.4324115812778473,1.7297652959823608,-0.19245502352714539,0.0,198,529
7,4,-0.1150030791759491,1.8997409343719482,-0.13242128491401672,0.0,126,600
7,5,-0.5692652463912964,2.0161702632904053,-0.12298118323087692,0.0,142,656
7,6,0.6670178771018982,2.0814104080200195,-0.34713298082351685,0.0,114,644
7,7,0.20010536909103394,2.113114356994629,0.6264103055000305,0.0,114,644
7,8,-1.207532286643982,2.366077423095703,-0.2783970236778259,0.07960004359483719,164,392
7,9,0.48301297426223755,0.6387394070625305,-0.027696816250681877,-0.09950005263090134,376,333
7,10,0.5175138711929321,0.7951425313949585,0.09935743361711502,-0.07960004359483719,262,385
7,11,0.4140110909938812,1.059113621711731,-0.13112108409404755,-0.05970003455877304,164,376
7,12,1.1224300861358643,0.6059454083442688,-1.9469010829925537,-0.05970003455877304,115,494
7,13,0.14030376076698303,1.5674927234649658,-1.714854121208191,-0.05970003455877304,115,494
8,0,-0.10695286095142365,0.03987079858779907,-0.008637207560241222,0.0,306,472
8,1,-0.460012286901474,1.4478319883346558,-0.14706407487392426,0.0,198,411
