frame,DetObj#,x,y,z,v,snr,noise
0,0,-0.0823696106672287,0.03047146648168564,-0.004573229234665632,0.0,279,391
0,1,0.5092744827270508,0.5177024006843567,0.09858720749616623,0.0,341,356
0,2,-0.4889035224914551,1.2565646171569824,0.020246300846338272,0.0,178,463
0,3,-0.8245818614959717,1.1585068702697754,0.20306019484996796,0.0,181,471
0,4,-0.5757015943527222,1.8115737438201904,0.13241979479789734,0.0,116,703
0,5,-0.5845585465431213,1.8405367136001587,0.11856569349765778,0.0,121,698
0,6,1.9131006002426147,1.3553258180618286,-0.05474911630153656,0.0,120,599
1,0,-0.0823696106672287,0.030463237315416336,-0.004627720452845097,0.0,282,388
1,1,0.5314168930053711,0.4903140068054199,0.11951562017202377,0.0,311,362
1,2,0.2878507971763611,0.621777355670929,-0.26005882024765015,0.0,311,362
1,3,0.43664756417274475,0.7276042699813843,-0.05144849047064781,0.0,210,465
1,4,-0.4889035224914551,1.2565844058990479,0.018979232758283615,0.0,176,465
1,5,-0.8245818614959717,1.1601040363311768,0.19372740387916565,0.0,169,482
1,6,-0.5757015943527222,1.811033010482788,0.1396206021308899,0.0,120,699
1,7,1.8891870975494385,1.3392219543457031,0.026069486513733864,0.0,117,603
2,0,-0.0823696106672287,0.030451135709881783,-0.004706699401140213,0.0,286,383
2,1,0.4889035224914551,0.49353963136672974,0.1112624928355217,0.0,312,351
2,2,0.43664756417274475,0.7293919324874878,0.006505159195512533,0.0,225,457
2,3,-0.4889035224914551,1.2566437721252441,0.014524460770189762,0.0,173,468
2,4,-0.8245818614959717,1.1596336364746094,0.19652311503887177,0.0,171,481
2,5,-0.5757015943527222,1.8116798400878906,0.13096140325069427,0.0,118,701
2,6,1.8891870975494385,1.339314579963684,0.02077925205230713,0.0,122,593
3,0,-0.0823696106672287,0.030490145087242126,-0.004446995444595814,0.0,282,388
3,1,-0.4889035224914551,1.2564843893051147,0.024726836010813713,0.0,199,442
3,2,-0.8245818614959717,1.159432291984558,0.19770799577236176,0.0,194,457
3,3,-0.5757015943527222,1.812097430229187,0.1250506043434143,0.0,117,702
3,4,-0.5845585465431213,1.8407307863235474,0.11551452428102493,0.0,120,699
3,5,0.5101601481437683,0.4800907373428345,0.06509126722812653,-0.06045079231262207,317,341
3,6,0.3108788728713989,0.7127528786659241,-0.1476690024137497,-0.06045079231262207,272,382
3,7,0.5101601481437683,0.7792865037918091,-0.11147526651620865,-0.06045079231262207,140,405
4,0,-0.0823696106672287,0.030479295179247856,-0.004520765505731106,0.0,280,390
4,1,-0.4889035224914551,1.256385087966919,0.029343554750084877,0.0,265,376
4,2,-0.8245818614959717,1.1581846475601196,0.20488974452018738,0.0,217,435
4,3,-0.5757015943527222,1.8125795125961304,0.11785611510276794,0.0,140,679
4,4,-0.5845585465431213,1.841318964958191,0.10572443902492523,0.0,142,677
4,5,0.46764683723449707,0.5030542016029358,0.1524146944284439,-0.1813523769378662,368,342
4,6,0.33213555812835693,0.639528214931488,0.13336172699928284,-0.0906761884689331,357,334
5,0,-0.0823696106672287,0.03046492114663124,-0.004616631660610437,0.0,287,383
