frame,DetObj#,x,y,z,v,snr,noise
0,0,-0.11040295660495758,0.027292296290397644,-0.013019761070609093,0.0,286,493
0,1,-0.7245194315910339,1.4294192790985107,0.0076737296767532825,0.0,234,431
0,2,-0.11040295660495758,1.8275480270385742,-0.04793119803071022,0.0,185,567
0,3,-0.5692652463912964,2.009598970413208,-0.2039078176021576,0.0,140,658
0,4,0.5060135722160339,3.311830520629883,0.22427895665168762,0.05970003455877304,121,386
0,5,0.4968133270740509,0.6814801692962646,-0.35688358545303345,-0.19900010526180267,353,344
0,6,0.6072162985801697,0.5767370462417603,-0.05765038728713989,-0.13930007815361023,332,331
0,7,1.0867791175842285,0.7728579640388489,0.07136066257953644,-0.13930007815361023,121,391
0,8,0.2794575095176697,2.314610481262207,-2.028968095779419,-0.11940006911754608,151,431
0,9,1.6767449378967285,0.707797646522522,2.497954845428467,-0.11940006911754608,151,431
0,10,0.6060662269592285,0.9284762144088745,0.4120023250579834,-0.07960004359483719,165,355
0,11,1.0350277423858643,1.602650761604309,0.002202722243964672,-0.05970003455877304,218,343
0,12,-0.7475200295448303,1.7550294399261475,0.0293656624853611,-0.05970003455877304,218,343
0,13,0.6440172791481018,0.7238271236419678,0.45027783513069153,-0.019900010898709297,117,435
1,0,-0.11040295660495758,0.027300765737891197,-0.013001994229853153,0.0,283,496
1,1,0.5244140625,0.6759013533592224,-0.3267289698123932,0.0,211,467
1,2,-0.7245194315910339,1.4294328689575195,0.004448507912456989,0.0,131,535
1,3,-0.11040295660495758,1.827573299407959,-0.04695785418152809,0.0,171,582
1,4,-0.5692652463912964,2.0101468563079834,-0.1984352022409439,0.0,140,657
1,5,0.6037662029266357,0.5246739387512207,-0.047331102192401886,0.039800021797418594,374,326
1,6,0.6440172791481018,0.7113447785377502,0.4697493612766266,-0.039800021797418594,131,400
2,0,-0.11040295660495758,0.027298370376229286,-0.013007021509110928,0.0,279,500
2,1,-0.7245194315910339,1.4293409585952759,0.016814779490232468,0.0,153,512
2,2,-0.11040295660495758,1.8273952007293701,-0.05344434082508087,0.0,181,574
2,3,-0.5692652463912964,2.0101242065429688,-0.19866544008255005,0.0,138,659
2,4,0.5819156169891357,0.602453351020813,-0.055542510002851486,0.15920008718967438,413,332
2,5,0.6083663105964661,0.6262614130973816,-0.08867855370044708,0.21890011429786682,245,330
2,6,0.5750154256820679,0.7379342913627625,-0.18642540276050568,0.23880013823509216,266,330
2,7,0.581915557384491,0.6036868095397949,0.259062260389328,-0.09950005263090134,241,328
2,8,0.1150030791759491,0.8419023752212524,1.708142638206482,-0.05970003455877304,237,350
2,9,1.0350277423858643,0.9325796961784363,1.3033761978149414,-0.05970003455877304,237,350
2,10,1.3328856229782104,1.0251272916793823,-1.6093393564224243,-0.05970003455877304,116,481
